student_id,roll_number,first_name,last_name,full_name,gender,age,date_of_birth,email,phone,city,location_type,branch,branch_name,year,semester,admission_date,status,primary_teacher_id,class_coordinator,income_level,annual_income,father_name,father_education,father_occupation,mother_name,mother_education,mother_occupation,siblings,family_size,single_parent,guardian_contact,permanent_address,current_semester_gpa,previous_semester_gpa,cumulative_gpa,gpa_trend,credits_registered_current,credits_completed_current,total_credits_registered,total_credits_completed,credit_completion_rate,first_year_gpa,first_year_credits_completed,first_year_attendance_percent,first_year_dropout_risk,registration_date,registration_delay_days,registration_status,courses_withdrawn_ever,courses_withdrawn_current,total_course_withdrawals,semester_number,courses_failed_ever,courses_repeated,academic_standing,probation_status,status_attendance_total_days,status_attendance_present_days,status_attendance_absent_days,attendance_percentage,attendance_first_half,attendance_second_half,attendance_trend,marks_percentage_mean,marks_percentage_std,marks_percentage_min,marks_percentage_max,marks_obtained_marks_sum,marks_subject_chemistry,marks_subject_computer_science,marks_subject_electronics,marks_subject_mathematics,marks_subject_mechanical_engineering,marks_subject_physics,marks_failing_count,assignment_submission_rate,assignment_late_count,assignment_grade_A,assignment_grade_B,assignment_grade_C,assignment_grade_D,behavior_negative_count,behavior_positive_count,behavior_total_count,library_visits,library_hours,fee_total_paid,fee_pending_count,fee_late_count,total_activities,extra_participates,extra_category_Academic,extra_category_Cultural,extra_category_Other,extra_category_Social,extra_category_Sports,extra_category_Technical,extra_leadership_roles,extra_hours_per_week,extra_total_events,attendance_status_extra_sessions_total,attendance_status_extra_sessions_present,extra_attendance_percentage,dropout_risk_score,dropout_risk
11,CS211011,Sandeep,Tiwari,Sandeep Tiwari,Male,18,2007-03-23,sandeep.tiwari11@student.college.edu,919052508984,Coimbatore,Urban,CS,Computer Science,1,1,2025-08-01,Active,1,Mr. Vinod Khanna,Upper-Middle,985153,Mr. Kiaan Tiwari,No Formal Education,Professional,Mrs. Kavya Tiwari,Primary,Retired,2,4,0,917842346341,"360, Road, Coimbatore",6.82,6.58,6.82,Stable,18,17,18,17,94.44,6.82,17,91.06,Medium,2025-07-27,0,On Time,0,0,0,1,0,0,Average,No,40,33,7,82.5,95.0,70.0,-25.0,38.6475,14.95493236838125,5.69,72.34,227.01,31.598333333333333,42.78,38.471666666666664,45.18833333333333,34.33,39.516666666666666,20.0,75.0,1,1,3,1,1,1.0,1.0,2.0,14.0,4.0,100000,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,5.0,16.0,11.0,68.75,15,Low Risk
12,CS211012,Vikram,Desai,Vikram Desai,Male,18,2007-11-02,vikram.desai12@student.college.edu,918576135716,Ludhiana,Rural,CS,Computer Science,1,1,2025-08-01,Active,1,Mr. Vinod Khanna,Lower-Middle,154911,Mr. Deepak Desai,Higher Secondary,Daily Wage Worker,Mrs. Aarohi Desai,Primary,Small Business,0,5,0,917007067624,"52, Road, Ludhiana",4.4,6.58,4.4,Stable,20,16,20,16,80.0,4.4,16,62.89,High,2025-07-28,1,On Time,0,0,0,1,1,1,Below Average,Yes,40,25,15,62.5,60.0,65.0,5.0,85.41722222222222,12.460821484295968,62.78,100.0,504.62,87.21499999999999,86.70166666666667,83.29333333333334,82.33166666666666,89.03000000000002,83.93166666666667,0.0,75.0,2,3,2,1,0,1.0,1.0,2.0,18.0,15.0,65000,1,1.0,2,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,10.0,25.0,72.0,64.0,88.88888888888889,40,Medium Risk
13,CS211013,Kiaan,Ali,Kiaan Ali,Male,19,2007-09-16,kiaan.ali13@student.college.edu,917641999671,Coimbatore,Rural,CS,Computer Science,1,1,2025-08-01,Active,1,Mr. Vinod Khanna,Low,85188,Mr. Pranav Ali,Higher Secondary,Retired,Mrs. Zara Ali,No Formal Education,Homemaker,2,4,1,918492644584,"256, Road, Coimbatore",6.68,6.58,6.68,Stable,24,21,24,21,87.5,6.68,21,93.29,Medium,2025-07-27,0,On Time,0,0,0,1,2,0,Average,No,40,29,11,72.5,60.0,85.0,25.0,78.29333333333334,16.15117173989022,37.91,100.0,476.75,73.88166666666666,80.83666666666666,83.64,77.43833333333333,69.26666666666667,84.69666666666667,1.0,100.0,3,5,3,0,0,1.0,1.0,2.0,10.0,6.0,85000,1,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,Medium Risk
14,CS211014,Tanvi,Patel,Tanvi Patel,Female,19,2007-01-16,tanvi.patel14@student.college.edu,918565006151,Pune,Semi-Urban,CS,Computer Science,1,1,2025-08-01,Active,1,Mr. Vinod Khanna,Middle,541100,Mr. Vihaan Patel,Secondary,Farmer,Mrs. Nisha Patel,Primary,Self-Employed,4,4,0,917364142131,"278, Lane, Pune",6.45,6.58,6.45,Stable,22,20,22,20,90.91,6.45,20,72.28,Medium,2025-07-27,0,On Time,0,0,0,1,1,1,Average,No,40,39,1,97.5,100.0,95.0,-5.0,55.385555555555555,15.737936231456676,26.96,90.72,331.07,58.89333333333334,46.211666666666666,54.69833333333333,52.73666666666667,68.60166666666667,51.17166666666666,5.0,87.5,2,1,2,3,1,1.0,0.0,1.0,12.0,9.0,100000,0,1.0,3,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,7.666666666666667,23.0,96.0,72.0,75.0,10,Low Risk
15,CS211015,Siddharth,Ali,Siddharth Ali,Male,19,2007-09-10,siddharth.ali15@student.college.edu,917707308299,Pune,Semi-Urban,CS,Computer Science,1,1,2025-08-01,Active,1,Mr. Vinod Khanna,Upper-Middle,747988,Mr. Abhinav Ali,Primary,Government Employee,Mrs. Ira Ali,Higher Secondary,Homemaker,1,4,0,919167335343,"369, Road, Pune",7.5,6.58,7.5,Stable,22,17,22,17,77.27,7.5,17,69.85,Low,2025-08-11,15,Very Late,0,0,0,1,0,0,Good,No,40,30,10,75.0,80.0,70.0,-10.0,51.079722222222216,17.510772110921753,13.96,85.58,309.0,47.655,58.72333333333333,58.031666666666666,42.54,46.66,52.86833333333334,9.0,75.0,1,0,4,2,0,0.0,1.0,1.0,11.0,8.0,100000,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,Low Risk
16,CS211016,Ajay,Khan,Ajay Khan,Male,18,2007-07-23,ajay.khan16@student.college.edu,917284291670,Indore,Rural,CS,Computer Science,1,1,2025-08-01,Active,1,Mr. Vinod Khanna,Low,100675,Mr. Karthik Khan,Higher Secondary,Retired,Mrs. Nisha Khan,Primary,Homemaker,4,7,0,918569610037,"60, Street, Indore",6.54,6.58,6.54,Declining,22,19,22,19,86.36,6.54,19,77.94,Medium,2025-07-27,0,On Time,0,0,0,1,2,1,Average,No,40,29,11,72.5,75.0,70.0,-5.0,65.63805555555555,18.27475586226522,26.99,96.86,385.19,71.90166666666667,61.9,64.00333333333333,76.82666666666667,58.305,60.89166666666667,2.0,100.0,3,6,1,1,0,2.0,1.0,3.0,12.0,9.0,30000,2,2.0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,35,Medium Risk
17,CS211017,Siya,Bhatia,Siya Bhatia,Female,18,2007-11-04,siya.bhatia17@student.college.edu,917378866214,Nagpur,Semi-Urban,CS,Computer Science,1,1,2025-08-01,Active,1,Mr. Vinod Khanna,Lower-Middle,209678,Mr. Karthik Bhatia,Graduate,Farmer,Mrs. Kriti Bhatia,Higher Secondary,Homemaker,1,5,0,919644993227,"311, Street, Nagpur",5.25,6.58,5.25,Declining,24,17,24,17,70.83,5.25,17,86.67,Medium,2025-07-27,0,On Time,0,0,0,1,1,0,Below Average,No,40,34,6,85.0,80.0,90.0,10.0,67.56777777777778,16.60957333435168,32.05,100.0,390.96999999999997,71.41833333333334,51.916666666666664,67.29333333333334,70.42,73.94,70.41833333333334,2.0,75.0,1,2,2,1,1,1.0,1.0,2.0,13.0,9.0,100000,0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,Medium Risk
18,CS211018,Reyansh,Chopra,Reyansh Chopra,Male,18,2007-03-19,reyansh.chopra18@student.college.edu,917238593717,Lucknow,Urban,CS,Computer Science,1,1,2025-08-01,Active,1,Mr. Vinod Khanna,Middle,405104,Mr. Ajay Chopra,No Formal Education,Professional,Mrs. Suman Chopra,Secondary,Government Employee,2,7,0,918818200149,"50, Street, Lucknow",6.45,6.58,6.45,Stable,20,17,20,17,85.0,6.45,17,91.53,Medium,2025-07-27,0,On Time,0,0,0,1,0,0,Average,No,40,35,5,87.5,90.0,85.0,-5.0,56.5325,16.87194922687612,22.04,89.46,330.47,50.39833333333333,56.550000000000004,51.343333333333334,54.90833333333333,62.56333333333333,63.43166666666667,6.0,75.0,1,4,2,0,0,1.0,1.0,2.0,20.0,20.0,85000,1,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,Low Risk
19,CS211019,Ananya,Jain,Ananya Jain,Female,19,2007-06-27,ananya.jain19@student.college.edu,917804496131,Ludhiana,Semi-Urban,CS,Computer Science,1,1,2025-08-01,Active,1,Mr. Vinod Khanna,Middle,398937,Mr. Daksh Jain,Higher Secondary,Farmer,Mrs. Diya Jain,Secondary,Homemaker,2,4,0,919210783794,"448, Street, Ludhiana",4.85,6.58,4.85,Stable,22,16,22,16,72.73,4.85,16,75.36,High,2025-07-29,2,On Time,0,0,0,1,2,0,Below Average,Yes,40,26,14,65.0,65.0,65.0,0.0,53.340833333333336,14.801221064493296,29.58,87.14,309.33,60.56666666666666,50.175000000000004,44.97666666666667,49.57333333333333,57.410000000000004,57.34333333333333,8.0,62.5,1,2,2,1,0,1.0,1.0,2.0,5.0,6.0,100000,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,Medium Risk
20,CS211020,Prakash,Verma,Prakash Verma,Male,18,2007-11-16,prakash.verma20@student.college.edu,917576837119,Kanpur,Rural,CS,Computer Science,1,1,2025-08-01,Active,1,Mr. Vinod Khanna,Low,91999,Mr. Naksh Verma,Higher Secondary,Professional,Mrs. Pari Verma,Primary,Homemaker,1,6,1,919821255392,"391, Lane, Kanpur",9.1,6.58,9.1,Improving,24,23,24,23,95.83,9.1,23,64.29,Low,2025-07-27,0,On Time,0,0,0,1,0,0,Excellent,No,40,35,5,87.5,95.0,80.0,-15.0,36.04027777777778,13.532088527667668,8.99,66.21,220.19,39.49666666666666,29.831666666666667,41.10166666666667,36.915,32.065,36.83166666666667,23.0,87.5,1,3,2,2,0,2.0,1.0,3.0,12.0,9.0,85000,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,Low Risk
21,CS211021,Sakshi,Nair,Sakshi Nair,Female,17,2007-10-25,sakshi.nair21@student.college.edu,917281963441,Indore,Urban,CS,Computer Science,1,1,2025-08-01,Active,1,Mr. Vinod Khanna,Upper-Middle,991929,Mr. Manoj Nair,No Formal Education,Self-Employed,Mrs. Navya Nair,No Formal Education,Homemaker,2,3,0,919769944420,"228, Road, Indore",6.13,6.58,6.13,Stable,24,22,24,22,91.67,6.13,22,72.17,Medium,2025-07-27,0,On Time,0,0,0,1,1,1,Average,No,40,35,5,87.5,90.0,85.0,-5.0,73.29555555555555,17.780294942828373,33.96,100.0,426.69,70.36666666666666,76.41833333333334,76.17999999999999,74.43833333333333,72.32833333333333,70.04166666666667,2.0,62.5,1,3,2,0,0,1.0,1.0,2.0,12.0,9.0,65000,1,0.0,2,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,10.0,40.0,34.0,85.0,15,Low Risk
22,CS211022,Rohan,Mukherjee,Rohan Mukherjee,Male,17,2007-10-28,rohan.mukherjee22@student.college.edu,917788025687,Lucknow,Semi-Urban,CS,Computer Science,1,1,2025-08-01,Active,1,Mr. Vinod Khanna,Lower-Middle,259231,Mr. Shivansh Mukherjee,Primary,Farmer,Mrs. Pooja Mukherjee,Secondary,Daily Wage Worker,4,4,0,918489567717,"427, Street, Lucknow",7.41,6.58,7.41,Stable,18,14,18,14,77.78,7.41,14,66.45,Low,2025-07-27,0,On Time,0,0,0,1,0,0,Good,No,40,26,14,65.0,75.0,55.00000000000001,-19.999999999999993,79.81222222222222,18.69603305686776,37.6,100.0,486.23,95.73,79.78666666666668,81.52666666666667,71.41833333333334,80.98666666666666,69.425,1.0,75.0,3,2,3,1,0,1.0,1.0,2.0,12.0,9.0,85000,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,Medium Risk
23,CS211023,Divya,Gupta,Divya Gupta,Female,19,2007-02-28,divya.gupta23@student.college.edu,919173914803,Kanpur,Semi-Urban,CS,Computer Science,1,1,2025-08-01,Active,1,Mr. Vinod Khanna,Middle,392901,Mr. Prakash Gupta,Higher Secondary,Professional,Mrs. Tanvi Gupta,No Formal Education,Homemaker,1,7,0,918715519710,"116, Lane, Kanpur",7.8,6.58,7.8,Declining,18,14,18,14,77.78,7.8,14,84.15,Low,2025-08-03,7,Late,0,0,0,1,0,0,Good,No,40,24,16,60.0,65.0,55.00000000000001,-9.999999999999993,56.58305555555555,14.783321648677402,30.12,88.69,320.09,54.248333333333335,56.68333333333334,56.89333333333334,51.27166666666667,53.65833333333333,66.74333333333334,7.0,100.0,3,3,4,1,0,1.0,1.0,2.0,12.0,9.0,100000,0,1.0,3,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,13.0,56.0,47.0,83.92857142857143,25,Low Risk
24,CS211024,Reyansh,Patel,Reyansh Patel,Male,19,2007-08-17,reyansh.patel24@student.college.edu,917750555297,Visakhapatnam,Rural,CS,Computer Science,1,1,2025-08-01,Active,1,Mr. Vinod Khanna,Low,117732,Mr. Ansh Patel,Secondary,Retired,Mrs. Ritika Patel,Graduate,Homemaker,1,7,0,917255792313,"169, Street, Visakhapatnam",5.74,6.58,5.74,Declining,24,18,24,18,75.0,5.74,18,84.35,Medium,2025-07-27,0,On Time,0,0,0,1,0,0,Average,No,40,23,17,57.49999999999999,50.0,65.0,15.0,63.98166666666667,16.577512910135656,35.01,100.0,373.57,66.825,56.46,64.01,74.49833333333333,64.07833333333333,58.01833333333334,2.0,87.5,2,2,2,1,2,1.0,1.0,2.0,12.0,9.0,15000,3,0.0,2,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,9.5,14.0,40.0,35.0,87.5,55,Medium Risk
25,CS211025,Diya,Mehta,Diya Mehta,Female,19,2007-06-23,diya.mehta25@student.college.edu,918857135789,Indore,Rural,CS,Computer Science,1,1,2025-08-01,Active,1,Mr. Vinod Khanna,Low,123989,Mr. Naksh Mehta,No Formal Education,Professional,Mrs. Shruti Mehta,No Formal Education,Government Employee,1,6,0,919313075513,"364, Lane, Indore",9.47,6.58,9.47,Stable,20,19,20,19,95.0,9.47,19,77.21,Low,2025-08-11,15,Very Late,0,0,0,1,0,0,Excellent,No,40,27,13,67.5,60.0,75.0,15.0,67.26194444444444,17.801054193412966,31.48,100.0,408.94,70.13166666666666,52.85999999999999,70.05166666666666,74.37666666666667,57.22833333333333,78.92333333333333,2.0,87.5,3,1,2,2,2,1.0,1.0,2.0,12.0,9.0,35000,3,1.0,4,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,5.5,22.0,40.0,36.0,90.0,25,Low Risk
26,CS211026,Priya,Sharma,Priya Sharma,Female,18,2007-12-11,priya.sharma26@student.college.edu,918242887172,Lucknow,Urban,CS,Computer Science,1,1,2025-08-01,Active,1,Mr. Vinod Khanna,Lower-Middle,232979,Mr. Kiaan Sharma,No Formal Education,Government Employee,Mrs. Aarohi Sharma,Secondary,Small Business,2,6,0,919110417952,"212, Street, Lucknow",6.49,6.58,6.49,Declining,22,19,22,19,86.36,6.49,19,81.16,Medium,2025-07-28,1,On Time,0,0,0,1,2,2,Average,No,40,34,6,85.0,80.0,90.0,10.0,51.65972222222222,14.717327103230806,26.15,84.4,308.84000000000003,49.044999999999995,56.05833333333334,54.57333333333333,53.87833333333333,51.63333333333333,44.77,10.0,75.0,3,1,3,1,1,1.0,1.0,2.0,12.0,9.0,100000,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,Low Risk
