student_id,income_level,annual_income,father_name,father_education,father_occupation,mother_name,mother_education,mother_occupation,siblings,family_size,single_parent,guardian_contact,permanent_address
17,Lower-Middle,209678,Mr. Karthik Bhatia,Graduate,Farmer,Mrs. Kriti Bhatia,Higher Secondary,Homemaker,1,5,0,+919644993227,"311, Street, Nagpur"
18,Middle,405104,Mr. Ajay Chopra,No Formal Education,Professional,Mrs. Suman Chopra,Secondary,Government Employee,2,7,0,+918818200149,"50, Street, Lucknow"
19,Middle,398937,Mr. Daksh Jain,Higher Secondary,Farmer,Mrs. Diya Jain,Secondary,Homemaker,2,4,0,+919210783794,"448, Street, Ludhiana"
20,Low,91999,Mr. Naksh Verma,Higher Secondary,Professional,Mrs. Pari Verma,Primary,Homemaker,1,6,1,+919821255392,"391, Lane, Kanpur"
21,Upper-Middle,991929,Mr. Manoj Nair,No Formal Education,Self-Employed,Mrs. Navya Nair,No Formal Education,Homemaker,2,3,0,+919769944420,"228, Road, Indore"
22,Lower-Middle,259231,Mr. Shivansh Mukherjee,Primary,Farmer,Mrs. Pooja Mukherjee,Secondary,Daily Wage Worker,4,4,0,+918489567717,"427, Street, Lucknow"
23,Middle,392901,Mr. Prakash Gupta,Higher Secondary,Professional,Mrs. Tanvi Gupta,No Formal Education,Homemaker,1,7,0,+918715519710,"116, Lane, Kanpur"
24,Low,117732,Mr. Ansh Patel,Secondary,Retired,Mrs. Ritika Patel,Graduate,Homemaker,1,7,0,+917255792313,"169, Street, Visakhapatnam"
25,Low,123989,Mr. Naksh Mehta,No Formal Education,Professional,Mrs. Shruti Mehta,No Formal Education,Government Employee,1,6,0,+919313075513,"364, Lane, Indore"
26,Lower-Middle,232979,Mr. Kiaan Sharma,No Formal Education,Government Employee,Mrs. Aarohi Sharma,Secondary,Small Business,2,6,0,+919110417952,"212, Street, Lucknow"
27,Lower-Middle,220131,Mr. Manoj Jain,Secondary,Government Employee,Mrs. Anjali Jain,Primary,Professional,2,4,0,+917674868133,"311, Street, Visakhapatnam"
28,Low,125323,Mr. Kian Banerjee,Secondary,Government Employee,Mrs. Swati Banerjee,Primary,Small Business,1,5,0,+917968342037,"228, Road, Hyderabad"
29,Upper-Middle,776017,Mr. Sandeep Gupta,Higher Secondary,Farmer,Mrs. Avni Gupta,Higher Secondary,Self-Employed,0,4,0,+918296117446,"327, Street, Patna"
30,Low,81342,Mr. Samar Bhatia,Higher Secondary,Small Business,Mrs. Sneha Bhatia,Primary,Daily Wage Worker,2,6,1,+918950213501,"381, Road, Ghaziabad"
31,Middle,384038,Mr. Ansh Mukherjee,Secondary,Farmer,Mrs. Divya Mukherjee,Secondary,Self-Employed,2,3,0,+917258584080,"93, Road, Kanpur"
32,Lower-Middle,234496,Mr. Vikram Hussain,No Formal Education,Farmer,Mrs. Aanya Hussain,Higher Secondary,Salaried Employee,2,5,0,+917022363373,"187, Road, Indore"
33,Lower-Middle,223325,Mr. Siddharth Shah,Higher Secondary,Retired,Mrs. Ishita Shah,Secondary,Farmer,1,4,1,+917562296418,"216, Road, Mumbai"
34,Lower-Middle,277706,Mr. Rudra Das,Graduate,Daily Wage Worker,Mrs. Prisha Das,Higher Secondary,Homemaker,3,5,0,+918505274702,"338, Lane, Nagpur"
35,Low,90885,Mr. Ravi Agarwal,Graduate,Small Business,Mrs. Navya Agarwal,Graduate,Professional,1,5,0,+919427549251,"252, Road, Bangalore"
36,Lower-Middle,160549,Mr. Sai Bose,Secondary,Small Business,Mrs. Sneha Bose,Graduate,Professional,3,7,1,+919384502907,"167, Street, Ghaziabad"
37,Lower-Middle,174098,Mr. Reyansh Khanna,Primary,Small Business,Mrs. Aditi Khanna,Post-Graduate,Small Business,1,6,0,+917390231723,"27, Street, Bangalore"
38,Lower-Middle,223651,Mr. Krishna Gupta,Higher Secondary,Government Employee,Mrs. Diya Gupta,No Formal Education,Homemaker,2,7,0,+918184224900,"482, Street, Visakhapatnam"
39,Lower-Middle,161960,Mr. Amit Reddy,Primary,Small Business,Mrs. Neha Reddy,No Formal Education,Small Business,2,7,0,+919785033063,"305, Street, Chennai"
40,Middle,528026,Mr. Amit Verma,Higher Secondary,Salaried Employee,Mrs. Simran Verma,Secondary,Daily Wage Worker,1,3,1,+918687157261,"415, Road, Patna"
41,Middle,432570,Mr. Ajay Choudhury,Primary,Small Business,Mrs. Kiara Choudhury,Secondary,Salaried Employee,0,6,0,+919524119297,"370, Road, Ludhiana"
42,Middle,416267,Mr. Pranav Malhotra,Secondary,Government Employee,Mrs. Tara Malhotra,Primary,Daily Wage Worker,1,4,0,+917348580696,"132, Road, Lucknow"
43,Low,132185,Mr. Arjun Kapoor,Secondary,Farmer,Mrs. Sunita Kapoor,Post-Graduate,Government Employee,1,5,0,+918814469476,"35, Street, Chennai"
44,Low,122825,Mr. Ritvik Jain,Primary,Salaried Employee,Mrs. Ananya Jain,Higher Secondary,Small Business,2,5,0,+919895400572,"62, Street, Jaipur"
45,Low,81006,Mr. Kiaan Reddy,Graduate,Daily Wage Worker,Mrs. Neha Reddy,Secondary,Small Business,2,6,0,+919277131039,"82, Lane, Nagpur"
46,Lower-Middle,271215,Mr. Samar Patel,Secondary,Professional,Mrs. Simran Patel,Graduate,Homemaker,1,6,0,+918080126751,"85, Lane, Indore"
47,Low,103999,Mr. Pranav Ahmed,Secondary,Government Employee,Mrs. Saanvi Ahmed,Higher Secondary,Homemaker,1,7,0,+919805425510,"379, Lane, Vadodara"
48,Low,89923,Mr. Ishaan Shah,Higher Secondary,Self-Employed,Mrs. Kriti Shah,Secondary,Homemaker,2,5,0,+919900220623,"338, Road, Kanpur"
49,Middle,450593,Mr. Ansh Khanna,Secondary,Government Employee,Mrs. Aanya Khanna,Secondary,Daily Wage Worker,3,6,0,+917114610494,"312, Street, Lucknow"
50,High,1282294,Mr. Yash Banerjee,Primary,Professional,Mrs. Nisha Banerjee,No Formal Education,Farmer,2,4,0,+919555524977,"448, Street, Visakhapatnam"
51,Lower-Middle,293763,Mr. Krishna Tiwari,Secondary,Daily Wage Worker,Mrs. Ishita Tiwari,Secondary,Professional,2,4,0,+917795071178,"308, Lane, Bhopal"
52,Low,122011,Mr. Rudra Iyer,No Formal Education,Farmer,Mrs. Neha Iyer,Secondary,Self-Employed,1,5,0,+919163292085,"499, Street, Ludhiana"
53,Lower-Middle,281462,Mr. Kiaan Kaur,Post-Graduate,Professional,Mrs. Sneha Kaur,No Formal Education,Government Employee,3,5,0,+919409492866,"342, Street, Mumbai"
54,Upper-Middle,741410,Mr. Arjun Singh,Higher Secondary,Daily Wage Worker,Mrs. Pari Singh,No Formal Education,Homemaker,2,4,0,+917475645168,"22, Road, Ghaziabad"
55,Lower-Middle,275161,Mr. Karthik Shah,Higher Secondary,Retired,Mrs. Aanya Shah,Secondary,Homemaker,1,3,0,+918008760786,"341, Street, Bhopal"
56,Upper-Middle,965157,Mr. Varun Das,Higher Secondary,Farmer,Mrs. Pari Das,Graduate,Small Business,0,5,0,+919660579491,"130, Lane, Kolkata"
57,Low,50953,Mr. Ishaan Joshi,No Formal Education,Self-Employed,Mrs. Shanaya Joshi,No Formal Education,Government Employee,3,6,0,+917117500553,"188, Road, Kanpur"
58,Low,57185,Mr. Advait Pandey,Primary,Farmer,Mrs. Prisha Pandey,No Formal Education,Homemaker,1,3,0,+917362161806,"180, Street, Chennai"
59,High,1287209,Mr. Reyansh Malhotra,Secondary,Self-Employed,Mrs. Sunita Malhotra,Primary,Homemaker,2,5,0,+919773437873,"387, Street, Mumbai"
60,Middle,573569,Mr. Ritvik Mehta,Higher Secondary,Self-Employed,Mrs. Shruti Mehta,Primary,Homemaker,2,3,1,+919478253382,"182, Lane, Pune"
61,Low,84919,Mr. Kabir Sethi,Primary,Self-Employed,Mrs. Preeti Sethi,Secondary,Professional,4,3,0,+919658711625,"223, Road, Kolkata"
62,Low,62564,Mr. Aditya Chatterjee,Secondary,Self-Employed,Mrs. Ritika Chatterjee,Secondary,Homemaker,1,5,0,+919881552705,"296, Lane, Visakhapatnam"
63,Lower-Middle,257077,Mr. Shaurya Singh,No Formal Education,Salaried Employee,Mrs. Tanvi Singh,Secondary,Homemaker,3,4,1,+919975713383,"490, Lane, Delhi"
64,Lower-Middle,237254,Mr. Kunal Nair,Primary,Self-Employed,Mrs. Sneha Nair,No Formal Education,Daily Wage Worker,2,4,0,+918041079775,"423, Street, Bangalore"
65,Lower-Middle,152554,Mr. Ritvik Jain,Graduate,Farmer,Mrs. Pari Jain,Primary,Homemaker,2,6,0,+919894259711,"394, Street, Kanpur"
66,Low,137704,Mr. Yash Pillai,Graduate,Retired,Mrs. Zara Pillai,Secondary,Small Business,3,4,0,+919355780718,"61, Road, Ludhiana"
67,Low,137149,Mr. Kian Patel,Graduate,Self-Employed,Mrs. Ishita Patel,Higher Secondary,Small Business,2,5,0,+918066484916,"20, Lane, Vadodara"
68,Lower-Middle,154655,Mr. Vikram Malhotra,Secondary,Government Employee,Mrs. Preeti Malhotra,No Formal Education,Small Business,3,7,1,+917325505662,"303, Lane, Bhopal"
69,Lower-Middle,295222,Mr. Kiaan Kapoor,Primary,Retired,Mrs. Diya Kapoor,No Formal Education,Homemaker,3,3,0,+917438139853,"14, Lane, Bangalore"
70,Lower-Middle,240040,Mr. Dhruv Pillai,Secondary,Daily Wage Worker,Mrs. Ira Pillai,Graduate,Small Business,2,6,0,+917847765450,"250, Lane, Kanpur"
71,Middle,491938,Mr. Suresh Joshi,Secondary,Farmer,Mrs. Priya Joshi,Secondary,Daily Wage Worker,1,7,0,+918170343294,"9, Street, Pune"
72,Low,112712,Mr. Ishaan Kumar,Higher Secondary,Self-Employed,Mrs. Preeti Kumar,Secondary,Salaried Employee,3,3,0,+918766008167,"394, Road, Bhopal"
73,Middle,397788,Mr. Sandeep Arora,No Formal Education,Salaried Employee,Mrs. Kavya Arora,No Formal Education,Homemaker,1,7,0,+917890539338,"313, Lane, Vadodara"
74,Low,82645,Mr. Nikhil Kaur,Graduate,Government Employee,Mrs. Priya Kaur,Secondary,Small Business,1,6,0,+919116131096,"149, Road, Delhi"
75,Low,52714,Mr. Aditya Singh,Secondary,Professional,Mrs. Tanvi Singh,Graduate,Salaried Employee,1,3,0,+917837118236,"95, Lane, Bhopal"
76,Lower-Middle,248377,Mr. Siddharth Choudhury,No Formal Education,Daily Wage Worker,Mrs. Divya Choudhury,Higher Secondary,Professional,1,4,0,+918882023265,"256, Road, Chennai"
77,Low,68669,Mr. Kunal Singh,Primary,Small Business,Mrs. Meera Singh,Secondary,Homemaker,0,5,0,+919958543096,"202, Lane, Nagpur"
78,Lower-Middle,197909,Mr. Samar Mehta,Higher Secondary,Farmer,Mrs. Simran Mehta,Graduate,Homemaker,0,5,0,+919186237419,"187, Street, Bangalore"
79,Middle,362982,Mr. Manoj Agarwal,Primary,Salaried Employee,Mrs. Nisha Agarwal,Graduate,Homemaker,4,7,0,+918908347378,"269, Lane, Chennai"
80,Middle,444095,Mr. Sai Ahmed,Primary,Salaried Employee,Mrs. Anjali Ahmed,Graduate,Small Business,4,6,1,+917647414422,"411, Street, Chennai"
81,Middle,476668,Mr. Ayaan Agarwal,Secondary,Salaried Employee,Mrs. Siya Agarwal,Primary,Self-Employed,2,5,0,+918721880407,"132, Road, Mumbai"
82,Low,134653,Mr. Kunal Rao,Primary,Government Employee,Mrs. Aarohi Rao,Primary,Homemaker,1,7,0,+917719776988,"33, Street, Pune"
83,High,2615444,Mr. Kabir Bose,Higher Secondary,Farmer,Mrs. Kavya Bose,Secondary,Homemaker,2,5,0,+918032668224,"176, Street, Ghaziabad"
84,Middle,548840,Mr. Varun Ghosh,Graduate,Retired,Mrs. Ira Ghosh,Higher Secondary,Salaried Employee,3,7,0,+917236994206,"413, Road, Indore"
85,Middle,342688,Mr. Rudra Sethi,No Formal Education,Farmer,Mrs. Siya Sethi,No Formal Education,Homemaker,1,5,0,+917712096418,"251, Lane, Bhopal"
86,Low,74616,Mr. Amit Iyer,Higher Secondary,Professional,Mrs. Kriti Iyer,Higher Secondary,Government Employee,1,4,0,+918094584447,"252, Lane, Hyderabad"
87,Upper-Middle,772177,Mr. Vikram Nair,Primary,Farmer,Mrs. Avni Nair,Secondary,Professional,3,3,0,+919581867780,"178, Lane, Hyderabad"
88,Middle,443468,Mr. Nikhil Kumar,Secondary,Professional,Mrs. Ritika Kumar,Post-Graduate,Homemaker,1,5,0,+919860344825,"495, Road, Bangalore"
89,Low,140164,Mr. Amit Rao,Higher Secondary,Retired,Mrs. Prisha Rao,Higher Secondary,Homemaker,1,7,0,+919792765210,"276, Lane, Hyderabad"
90,Low,97790,Mr. Vihaan Ghosh,Higher Secondary,Small Business,Mrs. Riya Ghosh,Higher Secondary,Salaried Employee,0,4,0,+917975356592,"202, Lane, Ludhiana"
91,Low,125721,Mr. Ayaan Kapoor,Primary,Government Employee,Mrs. Swati Kapoor,Primary,Government Employee,2,6,0,+917990302204,"200, Street, Mumbai"
92,Lower-Middle,152388,Mr. Nikhil Chatterjee,Secondary,Retired,Mrs. Priya Chatterjee,No Formal Education,Salaried Employee,1,3,0,+918796992347,"137, Lane, Lucknow"
93,Middle,399546,Mr. Rudra Ali,No Formal Education,Small Business,Mrs. Rekha Ali,Secondary,Homemaker,1,7,0,+919722358486,"414, Road, Bhopal"
94,Lower-Middle,188464,Mr. Harshit Banerjee,Higher Secondary,Professional,Mrs. Diya Banerjee,Secondary,Homemaker,1,6,0,+919140886613,"421, Road, Kolkata"
95,Lower-Middle,299940,Mr. Atharv Reddy,Secondary,Retired,Mrs. Priya Reddy,Secondary,Homemaker,4,6,0,+917032497878,"12, Street, Mumbai"
96,Middle,437297,Mr. Yash Shah,Higher Secondary,Farmer,Mrs. Meera Shah,Secondary,Self-Employed,1,3,0,+918352196165,"274, Street, Patna"
97,High,1877096,Mr. Arjun Iyer,Primary,Professional,Mrs. Neha Iyer,Secondary,Government Employee,1,6,0,+918805146751,"270, Road, Coimbatore"
98,Lower-Middle,298594,Mr. Vikram Verma,Higher Secondary,Government Employee,Mrs. Pooja Verma,Primary,Professional,3,4,0,+917284112654,"495, Lane, Ghaziabad"
99,Middle,509631,Mr. Ankit Mehta,Secondary,Professional,Mrs. Mira Mehta,No Formal Education,Homemaker,3,6,0,+917061308660,"253, Street, Visakhapatnam"
100,High,2698134,Mr. Arjun Kumar,Secondary,Farmer,Mrs. Myra Kumar,Primary,Farmer,0,3,0,+919288727101,"26, Road, Delhi"
101,Lower-Middle,252591,Mr. Ishaan Tiwari,Secondary,Retired,Mrs. Ananya Tiwari,Primary,Homemaker,2,5,0,+919476152795,"80, Road, Nagpur"
102,Low,107385,Mr. Shivansh Khan,Higher Secondary,Self-Employed,Mrs. Nisha Khan,Secondary,Homemaker,1,5,0,+919035572276,"11, Street, Vadodara"
103,Lower-Middle,167455,Mr. Suresh Khan,Secondary,Farmer,Mrs. Zara Khan,No Formal Education,Salaried Employee,2,6,0,+917460702098,"197, Road, Kanpur"
104,Lower-Middle,175756,Mr. Aryan Kaur,No Formal Education,Farmer,Mrs. Neha Kaur,Secondary,Homemaker,1,6,0,+918853550954,"170, Lane, Ludhiana"
105,Middle,362176,Mr. Pranav Reddy,Secondary,Professional,Mrs. Riya Reddy,Graduate,Homemaker,4,6,1,+918045589269,"121, Street, Visakhapatnam"
106,Lower-Middle,221415,Mr. Kabir Ghosh,No Formal Education,Small Business,Mrs. Navya Ghosh,Primary,Homemaker,1,7,0,+917151670209,"296, Street, Coimbatore"
107,High,2172135,Mr. Vihaan Malhotra,Graduate,Self-Employed,Mrs. Ritika Malhotra,Secondary,Salaried Employee,1,3,0,+919673216467,"49, Lane, Mumbai"
108,Lower-Middle,262153,Mr. Nikhil Saxena,Secondary,Government Employee,Mrs. Pari Saxena,Primary,Self-Employed,1,4,0,+918049124570,"316, Road, Bangalore"
109,Middle,379496,Mr. Ishaan Joshi,Higher Secondary,Self-Employed,Mrs. Avni Joshi,No Formal Education,Homemaker,1,6,0,+917236367664,"6, Lane, Bhopal"
110,Middle,595236,Mr. Shaurya Mishra,Graduate,Daily Wage Worker,Mrs. Suman Mishra,Graduate,Homemaker,1,5,0,+917385842419,"153, Lane, Bhopal"
111,Middle,477917,Mr. Ankit Banerjee,Secondary,Self-Employed,Mrs. Siya Banerjee,No Formal Education,Salaried Employee,1,5,1,+918416081039,"165, Street, Coimbatore"
112,Lower-Middle,293293,Mr. Rohan Gupta,Secondary,Retired,Mrs. Prisha Gupta,Primary,Small Business,1,4,0,+919187311743,"165, Lane, Nagpur"
113,Middle,407468,Mr. Arjun Arora,Higher Secondary,Government Employee,Mrs. Ira Arora,Secondary,Small Business,1,6,0,+917628048588,"229, Lane, Coimbatore"
114,Upper-Middle,922224,Mr. Manoj Ghosh,Secondary,Farmer,Mrs. Ishita Ghosh,Primary,Salaried Employee,1,6,0,+919311431265,"31, Lane, Kanpur"
115,Middle,478365,Mr. Kabir Bhatia,Graduate,Retired,Mrs. Kavya Bhatia,Secondary,Homemaker,1,6,0,+917107924890,"95, Road, Pune"
116,Lower-Middle,171208,Mr. Advait Agarwal,Higher Secondary,Salaried Employee,Mrs. Kriti Agarwal,Secondary,Self-Employed,0,7,0,+919834990434,"313, Street, Mumbai"
117,Lower-Middle,173605,Mr. Manish Saxena,Higher Secondary,Self-Employed,Mrs. Aadhya Saxena,Secondary,Self-Employed,1,3,0,+917893635778,"198, Lane, Vadodara"
118,Low,111271,Mr. Rudra Desai,Primary,Government Employee,Mrs. Myra Desai,No Formal Education,Homemaker,2,5,0,+917217275541,"30, Street, Coimbatore"
119,Upper-Middle,747532,Mr. Arnav Kumar,Higher Secondary,Retired,Mrs. Ananya Kumar,Secondary,Homemaker,1,4,0,+917873440261,"354, Street, Kolkata"
120,Lower-Middle,187099,Mr. Ansh Mishra,No Formal Education,Professional,Mrs. Myra Mishra,Primary,Self-Employed,4,4,0,+917223045281,"412, Lane, Jaipur"
121,Lower-Middle,159860,Mr. Shaurya Bose,Primary,Farmer,Mrs. Aditi Bose,Secondary,Farmer,2,7,0,+918571689068,"415, Lane, Mumbai"
122,Low,99815,Mr. Deepak Sinha,No Formal Education,Government Employee,Mrs. Zara Sinha,Primary,Retired,2,5,0,+917838931823,"72, Street, Ahmedabad"
123,Middle,401954,Mr. Arnav Ghosh,Secondary,Daily Wage Worker,Mrs. Mira Ghosh,No Formal Education,Homemaker,0,3,0,+919404266695,"127, Street, Ahmedabad"
124,Low,142316,Mr. Suresh Singh,Secondary,Government Employee,Mrs. Riya Singh,Secondary,Homemaker,1,4,0,+917374607986,"238, Lane, Kanpur"
125,Lower-Middle,248580,Mr. Daksh Gupta,Graduate,Self-Employed,Mrs. Sara Gupta,Higher Secondary,Professional,2,4,0,+918889693555,"415, Street, Vadodara"
126,Low,98600,Mr. Aarav Joshi,Secondary,Self-Employed,Mrs. Shanaya Joshi,Primary,Homemaker,3,6,0,+919600514112,"371, Road, Bhopal"
127,Middle,310839,Mr. Vivaan Mishra,Post-Graduate,Small Business,Mrs. Swati Mishra,No Formal Education,Salaried Employee,2,7,0,+918716216008,"96, Lane, Lucknow"
128,Low,54726,Mr. Kabir Gupta,Secondary,Salaried Employee,Mrs. Navya Gupta,No Formal Education,Government Employee,2,6,0,+919357061311,"217, Road, Visakhapatnam"
129,Lower-Middle,220098,Mr. Ravi Nair,Primary,Daily Wage Worker,Mrs. Saanvi Nair,Primary,Homemaker,1,4,0,+918074774259,"214, Road, Pune"
130,Middle,540184,Mr. Ajay Hussain,No Formal Education,Small Business,Mrs. Shanaya Hussain,Post-Graduate,Homemaker,0,4,0,+918543968689,"66, Street, Pune"
131,Lower-Middle,243119,Mr. Rohan Agarwal,Higher Secondary,Daily Wage Worker,Mrs. Aadhya Agarwal,Secondary,Homemaker,1,7,0,+918440752441,"228, Road, Patna"
132,Low,72711,Mr. Aarav Khan,Higher Secondary,Government Employee,Mrs. Pooja Khan,No Formal Education,Government Employee,1,6,1,+919129925238,"395, Lane, Indore"
133,Lower-Middle,153222,Mr. Dhruv Nair,Graduate,Farmer,Mrs. Ira Nair,Primary,Homemaker,2,4,0,+917569278859,"364, Road, Kanpur"
134,Lower-Middle,227052,Mr. Yash Pillai,Higher Secondary,Daily Wage Worker,Mrs. Rani Pillai,Graduate,Salaried Employee,1,6,0,+919360192136,"389, Street, Kolkata"
135,Lower-Middle,287759,Mr. Suresh Kaur,No Formal Education,Self-Employed,Mrs. Mira Kaur,Secondary,Professional,1,5,0,+917032493564,"464, Street, Kolkata"
136,Low,65879,Mr. Reyansh Ahmed,No Formal Education,Farmer,Mrs. Aarohi Ahmed,Primary,Government Employee,1,3,0,+919413914878,"199, Street, Hyderabad"
137,Lower-Middle,242878,Mr. Pranav Bose,Higher Secondary,Self-Employed,Mrs. Ananya Bose,No Formal Education,Homemaker,0,3,1,+919730492758,"12, Street, Kolkata"
138,High,2353934,Mr. Manish Gupta,Graduate,Retired,Mrs. Shruti Gupta,Secondary,Self-Employed,3,4,0,+917101665838,"396, Road, Coimbatore"
139,Lower-Middle,260111,Mr. Shaurya Desai,Higher Secondary,Daily Wage Worker,Mrs. Mira Desai,Primary,Daily Wage Worker,2,4,1,+917640944143,"400, Street, Hyderabad"
140,Low,111962,Mr. Arnav Agarwal,Secondary,Salaried Employee,Mrs. Riya Agarwal,No Formal Education,Salaried Employee,1,6,0,+918920400112,"214, Lane, Jaipur"
141,Lower-Middle,173031,Mr. Manish Hussain,No Formal Education,Professional,Mrs. Mira Hussain,Higher Secondary,Salaried Employee,4,7,0,+919928537146,"118, Street, Coimbatore"
142,Lower-Middle,183521,Mr. Reyansh Sethi,Higher Secondary,Professional,Mrs. Saanvi Sethi,Secondary,Small Business,2,7,0,+917430979791,"51, Lane, Visakhapatnam"
143,Lower-Middle,193828,Mr. Varun Verma,Secondary,Daily Wage Worker,Mrs. Nisha Verma,No Formal Education,Homemaker,1,5,0,+917593433087,"460, Street, Kolkata"
144,Low,71757,Mr. Rohan Hussain,Primary,Self-Employed,Mrs. Anjali Hussain,No Formal Education,Farmer,0,4,0,+918001974933,"287, Street, Patna"
145,Upper-Middle,697166,Mr. Siddharth Bose,Higher Secondary,Self-Employed,Mrs. Divya Bose,Post-Graduate,Homemaker,0,7,0,+918657742842,"13, Lane, Ludhiana"
146,Middle,350658,Mr. Nikhil Das,Primary,Small Business,Mrs. Riya Das,Secondary,Government Employee,1,7,0,+918329702453,"239, Lane, Vadodara"
147,Middle,481735,Mr. Arjun Bose,Secondary,Farmer,Mrs. Ananya Bose,Post-Graduate,Homemaker,0,7,0,+919101808609,"485, Street, Mumbai"
148,Middle,598166,Mr. Arjun Reddy,Post-Graduate,Government Employee,Mrs. Tara Reddy,No Formal Education,Homemaker,0,5,0,+918470899364,"315, Street, Hyderabad"
149,Middle,377289,Mr. Deepak Chatterjee,Post-Graduate,Salaried Employee,Mrs. Nisha Chatterjee,No Formal Education,Homemaker,0,3,0,+917234205644,"338, Road, Delhi"
150,Middle,538179,Mr. Arjun Rao,Secondary,Small Business,Mrs. Sara Rao,Secondary,Self-Employed,1,6,0,+919116237804,"187, Road, Nagpur"
151,Low,145779,Mr. Prakash Tiwari,Secondary,Professional,Mrs. Saanvi Tiwari,Secondary,Homemaker,2,7,0,+918603892907,"55, Street, Jaipur"
152,Upper-Middle,735918,Mr. Rohan Choudhury,No Formal Education,Salaried Employee,Mrs. Rekha Choudhury,Post-Graduate,Salaried Employee,3,4,0,+917578150677,"376, Road, Indore"
153,Lower-Middle,216862,Mr. Vivaan Malhotra,Graduate,Retired,Mrs. Kiara Malhotra,Secondary,Homemaker,1,4,0,+919366221867,"274, Lane, Delhi"
154,Middle,461709,Mr. Daksh Reddy,Secondary,Retired,Mrs. Priya Reddy,Secondary,Daily Wage Worker,3,4,0,+918296434945,"132, Street, Lucknow"
155,Lower-Middle,281632,Mr. Daksh Chatterjee,Secondary,Small Business,Mrs. Nisha Chatterjee,No Formal Education,Homemaker,1,6,1,+919008973496,"4, Street, Nagpur"
156,Low,148098,Mr. Arnav Rao,Secondary,Farmer,Mrs. Kiara Rao,Primary,Homemaker,1,3,0,+917149905977,"185, Street, Coimbatore"
157,Low,63927,Mr. Karthik Ali,Primary,Daily Wage Worker,Mrs. Ishita Ali,Graduate,Daily Wage Worker,2,4,0,+918896600141,"225, Street, Pune"
158,Middle,408965,Mr. Ishaan Sethi,Secondary,Government Employee,Mrs. Saanvi Sethi,Secondary,Homemaker,3,6,0,+917864474578,"347, Street, Pune"
159,Middle,446837,Mr. Arjun Tiwari,Secondary,Salaried Employee,Mrs. Nisha Tiwari,No Formal Education,Small Business,3,4,0,+917356174919,"313, Road, Kolkata"
160,Middle,339920,Mr. Rudra Khan,Secondary,Retired,Mrs. Divya Khan,No Formal Education,Government Employee,2,5,0,+918108172379,"479, Street, Kolkata"
